id_transaksi	tanggal_transaksi	id_produk	nama_produk	harga	jumlah	total_harga	id_pelanggan	nama_pelanggan	alamat	no_telepon	tanggal_keuangan	pemasukan	keterangan
6	2026-07-07	1	Laptop Lenovo	8500000.00	1	8500000.00	1	Test Data	Jakarta	0800000000	2026-07-07	8500000.00	Laptop Lenovo Sale
8	2026-01-01	1	Laptop Lenovo	8500000.00	5	42500000.00	854	Nugraha Halim	Gg. Asia Afrika No. 036\nYogyakarta, KT 86442	+62-93-835-0563	2026-01-01	42500000.00	Product Sale
20	2026-05-15	1	Laptop Lenovo	8500000.00	7	59500000.00	587	Lili Mustofa	Jl. Kutai No. 050\nLubuklinggau, Jawa Tengah 95282	+62 (0150) 191-5597	2026-05-15	59500000.00	Online Transaction
30	2025-07-09	1	Laptop Lenovo	8500000.00	1	8500000.00	27	Adinata Nainggolan, M.Farm	Gang Veteran No. 60\nSungai Penuh, GO 70407	0818762012	2025-07-09	8500000.00	Online Transaction
31	2026-04-08	1	Laptop Lenovo	8500000.00	7	59500000.00	912	Dr. Ajiono Purnawati, S.I.Kom	Gg. Surapati No. 9\nKota Administrasi Jakarta Barat, Kalimantan Tengah 46365	089 715 9081	2026-04-08	59500000.00	Store Sale
32	2026-03-20	1	Laptop Lenovo	8500000.00	6	51000000.00	1616	Hj. Rahayu Suartini	Jalan Medokan Ayu No. 7\nJambi, SS 54038	+62 (27) 246-5718	2026-03-20	51000000.00	Store Sale
34	2025-08-22	1	Laptop Lenovo	8500000.00	1	8500000.00	1274	Dalima Natsir	Gg. Waringin No. 164\nMalang, Kepulauan Bangka Belitung 62903	+62 (0130) 575 9023	2025-08-22	8500000.00	Store Sale
37	2026-04-23	1	Laptop Lenovo	8500000.00	9	76500000.00	1575	Puti Nadine Simbolon	Jalan Raya Ujungberung No. 81\nSemarang, KS 21979	+62 (0912) 110-0939	2026-04-23	76500000.00	Product Sale
41	2026-07-07	1	Laptop Lenovo	8500000.00	3	25500000.00	1065	Dt. Raharja Hasanah, S.IP	Gg. Kutai No. 76\nSawahlunto, JB 57439	+62-012-700-2595	2026-07-07	25500000.00	Online Transaction
43	2025-10-23	1	Laptop Lenovo	8500000.00	5	42500000.00	1913	R.M. Asirwanda Natsir	Jalan Kendalsari No. 29\nParepare, BA 19840	0848371218	2025-10-23	42500000.00	Online Transaction
54	2025-12-02	1	Laptop Lenovo	8500000.00	5	42500000.00	1421	Purwa Gunarto, M.Ak	Gg. Gegerkalong Hilir No. 551\nBanda Aceh, GO 64666	+62 (97) 002-0604	2025-12-02	42500000.00	Online Transaction
56	2026-04-20	1	Laptop Lenovo	8500000.00	2	17000000.00	1176	Darmanto Yuniar	Jalan H.J Maemunah No. 731\nBandar Lampung, DKI Jakarta 72126	+62-902-744-7919	2026-04-20	17000000.00	Product Sale
